transaccion_id,fecha,año,mes,dia,dia_semana,semana_año,cliente_id,nombre_cliente,tipo_cliente,segmento_cliente,ciudad,producto_id,nombre_producto,categoria_producto,subcategoria_producto,canal_venta,cantidad,precio_lista,descuento_porcentaje,precio_unitario,costo_unitario,costo_total,ingreso_total,utilidad_bruta,margen_porcentaje,vendedor_id,vendedor_nombre,metodo_pago,dias_entrega,devolucion,evento_id,campana
TRX-2024-00001,2024-01-01,2024,1,1,Monday,1,CLI-LIC-003,Licores y Vinos PTY,B2B,Licorería Especializada,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,45,18.0,0.0,18.0,7.5,337.5,810.0,472.5,58.33,VEN-002,María Gonzáles,Transferencia,2,False,,
TRX-2024-00002,2024-01-01,2024,1,1,Monday,1,CLI-BAR-004,Unplugged,B2B,Bar Top,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,8,42.0,0.0,42.0,18.0,144.0,336.0,192.0,57.14,VEN-002,María Gonzáles,Transferencia,1,False,,
TRX-2024-00003,2024-01-01,2024,1,1,Monday,1,CLI-SUP-006,Super Centro Santiago,B2B,Supermercado,Santiago,RCP-SP-750,Ron Caña Spiced,Especialidad,Entry,Supermercados,47,22.0,0.0,22.0,9.0,423.0,1034.0,611.0,59.09,VEN-005,Luuis Castillo,Transferencia,5,False,,
TRX-2024-00004,2024-01-02,2024,1,2,Tuesday,1,CLI-H4-005,Radisson Summit Golf,B2B,Hotel 4 Estrellas,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,19,42.0,0.0,42.0,18.0,342.0,798.0,456.0,57.14,VEN-001,Carlos Mendoza,Transferencia,4,False,,
TRX-2024-00005,2024-01-02,2024,1,2,Tuesday,1,CLI-CONV-005,Minisuper Express Colón,B2B,Tienda Conveniencia,Colón,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,10,18.0,0.0,18.0,7.5,75.0,180.0,105.0,58.33,VEN-003,Roberto Chen,Crédito 30 días,5,False,,
TRX-2024-00006,2024-01-02,2024,1,2,Tuesday,1,CLI-CONV-002,Delta Costa del Este,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Retail Moderno,19,18.0,0.0,18.0,7.5,142.5,342.0,199.5,58.33,VEN-002,María Gonzáles,Transferencia,3,False,,
TRX-2024-00007,2024-01-02,2024,1,2,Tuesday,1,CLI-BAR-006,Barlovento,B2B,Bar Top,Bocas del Toro,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Horeca Premium,10,42.0,0.0,42.0,18.0,180.0,420.0,240.0,57.14,VEN-004,Ana Pérez,Crédito 30 días,4,False,,
TRX-2024-00008,2024-01-03,2024,1,3,Wednesday,1,CLI-LIC-002,The Wine Bar,B2B,Licorería Especializada,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,19,42.0,0.0,42.0,18.0,342.0,798.0,456.0,57.14,VEN-001,Carlos Mendoza,Crédito 30 días,3,False,,
TRX-2024-00009,2024-01-03,2024,1,3,Wednesday,1,CLI-CORP-003,Banco General,B2B,Corporativo,Ciudad de Panamá,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Corporativo,67,180.0,14.03,154.74,75.0,5025.0,10367.55,5342.55,51.53,VEN-002,María Gonzáles,Crédito 30 días,3,False,,
TRX-2024-00010,2024-01-03,2024,1,3,Wednesday,1,CLI-LIC-009,Licorería Central Colón,B2B,Licorería Especializada,Colón,RCP-EDLIM-750,Ron Caña Edición Limitada Roble Europeo,Ultra Premium,Ultra Premium,Retail Moderno,45,180.0,0.0,180.0,75.0,3375.0,8100.0,4725.0,58.33,VEN-003,Roberto Chen,Transferencia,4,False,,
TRX-2024-00011,2024-01-03,2024,1,3,Wednesday,1,CLI-CONV-001,Delta Vía España,B2B,Tienda Conveniencia,Ciudad de Panamá,RCP-A8-750,Ron Caña Añejo 8 Años,Añejo,Core,Retail Moderno,16,42.0,19.25,33.92,18.0,288.0,542.65,254.65,46.93,VEN-002,María Gonzáles,Crédito 30 días,2,False,,
TRX-2024-00012,2024-01-04,2024,1,4,Thursday,1,CLI-SUP-004,Super 99 David,B2B,Supermercado,David,RCP-BL-750,Ron Caña Blanco Artesanal,Blanco,Entry,Supermercados,48,18.0,0.0,18.0,7.5,360.0,864.0,504.0,58.33,VEN-004,Ana Pérez,Transferencia,5,False,,
TRX-2024-00013,2024-01-04,2024,1,4,Thursday,1,CLI-LIC-009,Licorería Central Colón,B2B,Licorería Especializada,Colón,RCP-A5-750,Ron Caña Añejo 5 Años,Añejo,Core,Retail Moderno,13,32.0,0.0,32.0,14.0,182.0,416.0,234.0,56.25,VEN-003,Roberto Chen,Transferencia,3,False,,
TRX-2024-00014,2024-01-04,2024,1,4,Thursday,1,CLI-SUP-005,El Machetazo Colón,B2B,Supermercado,Colón,RCP-SP-750,Ron Caña Spiced,Especialidad,Entry,Supermercados,52,22.0,5.0,20.9,9.0,468.0,1086.8,618.8,56.94,VEN-003,Roberto Chen,Transferencia,1,False,,
